year,month,day,dep_time,dep_delay,arr_time,arr_delay,carrier,tailnum,flight,origin,dest,air_time,distance,hour,minute
2013,1,7,1752,-8,1908,-2,WN,N270WN,808,EWR,BWI,38,169,17,52
2013,1,7,1834,-1,1944,-6,MQ,N606MQ,3944,JFK,BWI,37,184,18,34
2013,1,7,1939,-1,2037,-29,9E,N8674A,4091,JFK,BWI,39,184,19,39
2013,1,7,2158,-1,2247,-13,EV,N14204,4162,EWR,BWI,33,169,21,58
2013,1,8,625,0,740,10,WN,N439WN,3127,EWR,BWI,35,169,6,25
2013,1,8,818,-2,932,-7,9E,N8674A,4051,JFK,BWI,39,184,8,18
2013,1,8,1207,-3,1305,-5,WN,N767SW,477,EWR,BWI,34,169,12,7
2013,1,8,1423,54,1518,47,EV,N16919,4335,EWR,BWI,36,169,14,23
2013,1,8,1540,-5,1652,-11,9E,N8971A,3635,JFK,BWI,39,184,15,40
2013,1,8,1708,-2,1808,-12,EV,N12567,4316,EWR,BWI,33,169,17,8
2013,1,8,1824,24,1924,14,WN,N775SW,808,EWR,BWI,34,169,18,24
2013,1,8,1843,8,1940,-10,MQ,N620MQ,3944,JFK,BWI,43,184,18,43
2013,1,8,1948,8,2045,-21,9E,N8971A,4091,JFK,BWI,37,184,19,48
2013,1,8,2154,-5,2243,-17,EV,N27190,4519,EWR,BWI,36,169,21,54
2013,1,9,622,-3,718,-12,WN,N478WN,3127,EWR,BWI,35,169,6,22
2013,1,9,814,-6,939,0,9E,N8971A,4051,JFK,BWI,42,184,8,14
2013,1,9,1205,-5,1300,-10,WN,N708SW,477,EWR,BWI,40,169,12,5
2013,1,9,1315,-14,1416,-15,EV,N14991,4335,EWR,BWI,37,169,13,15
2013,1,9,1538,-7,1639,-24,9E,N8907A,3635,JFK,BWI,41,184,15,38
2013,1,9,1658,-12,1759,-21,EV,N13914,4316,EWR,BWI,37,169,16,58
2013,1,9,1756,-4,1858,-12,WN,N798SW,808,EWR,BWI,40,169,17,56
2013,1,9,1832,-3,1931,-19,MQ,N688MQ,3944,JFK,BWI,42,184,18,32
2013,1,9,1952,12,2059,-7,9E,N8907A,4091,JFK,BWI,40,184,19,52
2013,1,9,2209,10,2259,-1,EV,N11187,4519,EWR,BWI,33,169,22,9
2013,1,10,620,-5,708,-22,WN,N906WN,3127,EWR,BWI,35,169,6,20
2013,1,10,814,-6,924,-15,9E,N8836A,4051,JFK,BWI,39,184,8,14
2013,1,10,1206,-4,1256,-14,WN,N404WN,477,EWR,BWI,36,169,12,6
2013,1,10,1338,9,1430,-1,EV,N14570,4280,EWR,BWI,39,169,13,38
2013,1,10,1532,-13,1652,-11,9E,N8688C,3635,JFK,BWI,42,184,15,32
2013,1,10,1711,1,1807,-13,EV,N10575,4316,EWR,BWI,34,169,17,11
2013,1,10,1757,-3,1911,1,WN,N773SA,808,EWR,BWI,35,169,17,57
2013,1,10,1827,-8,1932,-18,MQ,N909MQ,3944,JFK,BWI,33,184,18,27
2013,1,10,1935,-5,2044,-22,9E,N829AY,4091,JFK,BWI,39,184,19,35
2013,1,10,2159,0,2247,-13,EV,N13124,4519,EWR,BWI,33,169,21,59
2013,1,11,622,-3,718,-12,WN,N7738A,3127,EWR,BWI,37,169,6,22
2013,1,11,829,9,949,10,9E,N829AY,4051,JFK,BWI,40,184,8,29
2013,1,11,1207,-3,1301,-9,WN,N947WN,477,EWR,BWI,38,169,12,7
2013,1,11,1323,-6,1425,-6,EV,N14923,4280,EWR,BWI,37,169,13,23
2013,1,11,1538,-7,1700,-3,9E,N8710A,3635,JFK,BWI,44,184,15,38
2013,1,11,1712,2,1826,6,EV,N14920,4316,EWR,BWI,52,169,17,12
2013,1,11,1752,-8,1908,-2,WN,N743SW,808,EWR,BWI,48,169,17,52
2013,1,11,1828,-7,2040,50,MQ,N918MQ,3944,JFK,BWI,43,184,18,28
2013,1,11,1946,6,2059,-7,9E,N8710A,4091,JFK,BWI,42,184,19,46
2013,1,11,2149,-10,2248,-12,EV,N11109,4519,EWR,BWI,35,169,21,49
2013,1,12,620,-5,721,-4,WN,N285WN,1774,EWR,BWI,37,169,6,20
2013,1,12,830,10,947,10,9E,N8475B,4051,JFK,BWI,40,184,8,30
2013,1,12,1217,-3,1305,-20,WN,N909WN,1045,EWR,BWI,34,169,12,17
2013,1,12,1321,-7,1421,-9,EV,N11551,4119,EWR,BWI,37,169,13,21
2013,1,12,1536,-9,1639,-22,9E,N8580A,3635,JFK,BWI,37,184,15,36
2013,1,12,1653,-7,1740,-20,WN,N264LV,63,EWR,BWI,33,169,16,53
2013,1,12,1825,-10,1932,-18,MQ,N932MQ,3944,JFK,BWI,35,184,18,25
2013,1,12,1952,12,2109,5,9E,N8515F,4091,JFK,BWI,40,184,19,52
2013,1,12,2150,-9,2242,-17,EV,N11150,4693,EWR,BWI,35,169,21,50
2013,1,13,809,-11,925,-14,9E,N8516C,4051,JFK,BWI,38,184,8,9
2013,1,13,1222,12,1346,36,WN,N735SA,477,EWR,BWI,51,169,12,22
2013,1,13,1328,2,1434,9,EV,N11547,5683,EWR,BWI,49,169,13,28
2013,1,13,1632,47,1727,24,9E,N8475B,3635,JFK,BWI,39,184,16,32
2013,1,13,1857,111,2003,115,EV,N19966,4316,EWR,BWI,38,169,18,57
2013,1,13,2115,195,2241,211,WN,N652SW,808,EWR,BWI,39,169,21,15
2013,1,13,2239,40,NA,NA,EV,N17196,4519,EWR,BWI,NA,169,22,39
2013,1,13,NA,NA,NA,NA,9E,,4091,JFK,BWI,NA,184,NA,NA
2013,1,13,NA,NA,NA,NA,MQ,N655MQ,3944,JFK,BWI,NA,184,NA,NA
2013,1,14,630,5,731,1,WN,N419WN,3127,EWR,BWI,36,169,6,30
2013,1,14,822,2,1000,21,9E,N830AY,4051,JFK,BWI,41,184,8,22
2013,1,14,1208,-2,1301,-9,WN,N918WN,477,EWR,BWI,41,169,12,8
2013,1,14,1414,45,1509,38,EV,N16546,4280,EWR,BWI,36,169,14,14
2013,1,14,1542,-3,1645,-18,9E,N8891A,3635,JFK,BWI,40,184,15,42
2013,1,14,1703,-7,1813,-7,EV,N13970,4316,EWR,BWI,36,169,17,3
2013,1,14,1751,-9,1857,-13,WN,N281WN,808,EWR,BWI,37,169,17,51
2013,1,14,1827,-8,1926,-24,MQ,N619MQ,3944,JFK,BWI,40,184,18,27
2013,1,14,1943,3,2049,-17,9E,N8891A,4091,JFK,BWI,41,184,19,43
2013,1,14,2201,2,2304,4,EV,N14143,4519,EWR,BWI,40,169,22,1
2013,1,15,618,-7,719,-11,WN,N403WN,3127,EWR,BWI,42,169,6,18
2013,1,15,816,-4,949,10,9E,N8672A,4051,JFK,BWI,43,184,8,16
2013,1,15,1201,-9,1307,-3,WN,N269WN,477,EWR,BWI,51,169,12,1
2013,1,15,1329,0,1424,-7,EV,N15980,4688,EWR,BWI,40,169,13,29
2013,1,15,1541,-4,1656,-7,9E,N8974C,3635,JFK,BWI,43,184,15,41
2013,1,15,1705,-5,1821,1,EV,N13956,4316,EWR,BWI,43,169,17,5
2013,1,15,1754,-6,1913,3,WN,N349SW,808,EWR,BWI,42,169,17,54
2013,1,15,1827,-8,1931,-19,MQ,N688MQ,3944,JFK,BWI,45,184,18,27
2013,1,15,1953,13,2103,-3,9E,N8974C,4091,JFK,BWI,45,184,19,53
2013,1,15,2151,-8,2249,-11,EV,N16183,4519,EWR,BWI,38,169,21,51
2013,1,16,632,7,836,66,WN,N909WN,3127,EWR,BWI,44,169,6,32
2013,1,16,819,-1,927,-12,9E,N8855A,4051,JFK,BWI,46,184,8,19
2013,1,16,1205,-5,1308,-2,WN,N238WN,477,EWR,BWI,48,169,12,5
2013,1,16,1328,-1,1437,6,EV,N11140,4688,EWR,BWI,42,169,13,28
2013,1,16,1813,13,1910,0,WN,N609SW,808,EWR,BWI,40,169,18,13
2013,1,16,1830,-5,1922,-28,MQ,N680MQ,3944,JFK,BWI,40,184,18,30
2013,1,16,1849,99,2003,103,EV,N14902,4316,EWR,BWI,39,169,18,49
2013,1,16,2150,130,2317,131,9E,N8943A,4091,JFK,BWI,43,184,21,50
2013,1,16,2151,-8,2251,-9,EV,N12564,4519,EWR,BWI,40,169,21,51
2013,1,16,NA,NA,NA,NA,9E,,3635,JFK,BWI,NA,184,NA,NA
2013,1,17,622,-3,718,-12,WN,N247WN,3127,EWR,BWI,37,169,6,22
2013,1,17,820,0,938,-1,9E,N8694A,4051,JFK,BWI,40,184,8,20
2013,1,17,1207,-3,1257,-13,WN,N460WN,477,EWR,BWI,37,169,12,7
2013,1,17,1326,-3,1430,-1,EV,N27962,4280,EWR,BWI,39,169,13,26
2013,1,17,1703,78,1810,67,9E,N8458A,3635,JFK,BWI,39,184,17,3
2013,1,17,1750,40,1902,42,EV,N12967,4316,EWR,BWI,45,169,17,50
2013,1,17,1828,-7,1935,-15,MQ,N624MQ,3944,JFK,BWI,39,184,18,28
2013,1,17,1832,32,1941,31,WN,N798SW,808,EWR,BWI,42,169,18,32
2013,1,17,1935,-5,2048,-18,9E,N8492C,4091,JFK,BWI,39,184,19,35
2013,1,17,2240,41,2335,35,EV,N22971,4519,EWR,BWI,41,169,22,40
2013,1,18,621,-4,717,-13,WN,N737JW,3127,EWR,BWI,37,169,6,21
2013,1,18,817,-3,929,-10,9E,N8492C,4051,JFK,BWI,38,184,8,17
2013,1,18,1212,2,1306,-4,WN,N605SW,477,EWR,BWI,39,169,12,12
2013,1,18,1436,67,1529,58,EV,N13566,4280,EWR,BWI,39,169,14,36
2013,1,18,1545,0,1709,6,9E,N8423C,3635,JFK,BWI,38,184,15,45
2013,1,18,1808,58,1916,56,EV,N15555,4316,EWR,BWI,34,169,18,8
2013,1,18,1808,8,1909,-1,WN,N719SW,808,EWR,BWI,34,169,18,8
2013,1,18,1825,-10,1939,-11,MQ,N610MQ,3944,JFK,BWI,40,184,18,25
2013,1,18,1946,6,2043,-23,9E,N8423C,4091,JFK,BWI,36,184,19,46
2013,1,18,2153,-6,2250,-10,EV,N21129,4519,EWR,BWI,37,169,21,53
2013,1,19,620,-5,715,-10,WN,N240WN,1774,EWR,BWI,37,169,6,20
2013,1,19,839,19,950,13,9E,N823AY,4051,JFK,BWI,38,184,8,39
2013,1,19,1216,-4,1307,-18,WN,N914WN,1045,EWR,BWI,36,169,12,16
2013,1,19,1325,-3,1421,-9,EV,N14974,4119,EWR,BWI,42,169,13,25
2013,1,19,1547,2,1649,-12,9E,N8877A,3635,JFK,BWI,38,184,15,47
2013,1,19,1655,-5,1750,-10,WN,N701GS,63,EWR,BWI,38,169,16,55
2013,1,19,1903,28,2007,17,MQ,N672MQ,3944,JFK,BWI,37,184,19,3
2013,1,19,2025,45,2128,24,9E,N836AY,4091,JFK,BWI,42,184,20,25
2013,1,19,2155,-4,2250,-9,EV,N12126,4693,EWR,BWI,36,169,21,55
2013,1,20,1159,-11,1302,-8,WN,N481WN,477,EWR,BWI,45,169,11,59
2013,1,20,1401,35,1456,31,EV,N14543,5683,EWR,BWI,35,169,14,1
2013,1,20,1544,-1,1710,7,9E,N8423C,3635,JFK,BWI,37,184,15,44
2013,1,20,1805,5,1858,-12,WN,N407WN,808,EWR,BWI,39,169,18,5
2013,1,20,1830,-5,1955,5,MQ,N653MQ,3944,JFK,BWI,41,184,18,30
2013,1,20,1932,-8,2057,-9,9E,N8588D,4091,JFK,BWI,41,184,19,32
2013,1,20,2310,71,6,66,EV,N12567,4519,EWR,BWI,37,169,23,10
2013,1,20,NA,NA,NA,NA,EV,N16178,4316,EWR,BWI,NA,169,NA,NA
2013,1,21,620,-5,716,-14,WN,N445WN,3127,EWR,BWI,37,169,6,20
2013,1,21,1420,51,1519,48,EV,N11535,4280,EWR,BWI,42,169,14,20
2013,1,21,1626,256,1725,255,WN,N480WN,477,EWR,BWI,40,169,16,26
2013,1,21,1709,-1,1814,-6,EV,N15555,4316,EWR,BWI,43,169,17,9
2013,1,21,1738,113,1847,104,9E,N829AY,3635,JFK,BWI,47,184,17,38
2013,1,21,1757,-3,1902,-8,WN,N746SW,808,EWR,BWI,43,169,17,57
2013,1,21,1829,-6,1928,-22,MQ,N694MQ,3944,JFK,BWI,42,184,18,29
2013,1,21,2156,-3,2249,-11,EV,N14117,4519,EWR,BWI,37,169,21,56
2013,1,21,NA,NA,NA,NA,9E,,4091,JFK,BWI,NA,184,NA,NA
2013,1,22,620,-5,718,-12,WN,N295WN,3127,EWR,BWI,39,169,6,20
2013,1,22,817,-3,941,2,9E,N8525B,4051,JFK,BWI,40,184,8,17
2013,1,22,1207,-3,1301,-9,WN,N907WN,477,EWR,BWI,36,169,12,7
2013,1,22,1330,1,1429,-2,EV,N11548,4688,EWR,BWI,40,169,13,30
2013,1,22,1543,-2,1715,12,9E,N8948B,3635,JFK,BWI,38,184,15,43
2013,1,22,1811,11,1919,9,WN,N792SW,808,EWR,BWI,35,169,18,11
2013,1,22,1831,-4,1954,4,MQ,N680MQ,3944,JFK,BWI,50,184,18,31
2013,1,22,1942,2,2111,5,9E,N8477R,4091,JFK,BWI,43,184,19,42
2013,1,22,2009,179,2112,172,EV,N12996,4316,EWR,BWI,44,169,20,9
2013,1,22,2254,55,2352,52,EV,N10156,4519,EWR,BWI,40,169,22,54
2013,1,23,158,239,253,233,EV,N12921,4519,EWR,BWI,38,169,1,58
2013,1,23,619,-6,738,8,WN,N475WN,3127,EWR,BWI,34,169,6,19
2013,1,23,821,1,936,-3,9E,N8933B,4051,JFK,BWI,52,184,8,21
2013,1,23,1206,-4,1258,-12,WN,N551WN,477,EWR,BWI,39,169,12,6
2013,1,23,1453,84,1550,79,EV,N14558,4688,EWR,BWI,38,169,14,53
2013,1,23,1601,16,1738,35,9E,N8930E,3635,JFK,BWI,43,184,16,1
2013,1,23,1759,-1,1900,-10,WN,N951WN,808,EWR,BWI,36,169,17,59
2013,1,23,1830,-5,1935,-15,MQ,N825MQ,3944,JFK,BWI,38,184,18,30
2013,1,23,1850,100,1948,88,EV,N11551,4316,EWR,BWI,36,169,18,50
2013,1,23,2110,90,2208,62,9E,N8930E,4091,JFK,BWI,39,184,21,10
2013,1,24,627,2,734,4,WN,N235WN,3127,EWR,BWI,38,169,6,27
2013,1,24,917,57,1027,48,9E,N800AY,4051,JFK,BWI,43,184,9,17
2013,1,24,1207,-3,1256,-14,WN,N266WN,477,EWR,BWI,37,169,12,7
2013,1,24,1417,48,1504,33,EV,N11535,4280,EWR,BWI,34,169,14,17
2013,1,24,1554,9,1725,22,9E,N8409N,3635,JFK,BWI,39,184,15,54
2013,1,24,1830,-5,1954,4,MQ,N615MQ,3944,JFK,BWI,38,184,18,30
2013,1,24,1835,85,1955,95,EV,N13958,4316,EWR,BWI,38,169,18,35
2013,1,24,1849,49,1951,41,WN,N607SW,808,EWR,BWI,37,169,18,49
2013,1,24,1950,10,2138,32,9E,N8409N,4091,JFK,BWI,35,184,19,50
2013,1,24,2342,103,28,88,EV,N14916,4519,EWR,BWI,33,169,23,42
2013,1,25,620,-5,712,-18,WN,N931WN,3127,EWR,BWI,34,169,6,20
2013,1,25,813,-7,922,-17,9E,N8409N,4051,JFK,BWI,38,184,8,13
2013,1,25,1220,10,1310,0,WN,N467WN,477,EWR,BWI,35,169,12,20
2013,1,25,1342,13,1439,8,EV,N12552,4280,EWR,BWI,40,169,13,42
2013,1,25,1753,-7,1916,6,WN,N789SW,808,EWR,BWI,40,169,17,53
2013,1,25,1827,-8,2026,36,MQ,N634MQ,3944,JFK,BWI,45,184,18,27
2013,1,25,1839,89,2127,187,EV,N11109,4316,EWR,BWI,39,169,18,39
2013,1,25,2015,270,2139,276,9E,N8960A,3635,JFK,BWI,38,184,20,15
2013,1,25,2200,1,2335,35,EV,N16919,4519,EWR,BWI,32,169,22,0
2013,1,25,2353,253,144,278,9E,N8960A,4091,JFK,BWI,36,184,23,53
2013,1,26,624,-1,721,-4,WN,N253WN,1774,EWR,BWI,35,169,6,24
2013,1,26,1212,-8,1301,-24,WN,N243WN,1045,EWR,BWI,34,169,12,12
2013,1,26,1333,5,1445,15,EV,N21537,4119,EWR,BWI,34,169,13,33
2013,1,26,1409,349,1528,351,9E,N8444F,4051,JFK,BWI,37,184,14,9
2013,1,26,1542,-3,1641,-20,9E,N8698A,3635,JFK,BWI,38,184,15,42
2013,1,26,1649,-11,1742,-18,WN,N724SW,63,EWR,BWI,35,169,16,49
2013,1,26,1831,-4,1953,3,MQ,N610MQ,3944,JFK,BWI,37,184,18,31
2013,1,26,1938,-2,2058,-6,9E,N8665A,4091,JFK,BWI,37,184,19,38
2013,1,26,2244,45,2341,42,EV,N11121,4693,EWR,BWI,35,169,22,44
2013,1,27,918,58,1016,37,9E,N8560F,4051,JFK,BWI,34,184,9,18
2013,1,27,1213,3,1315,5,WN,N709SW,477,EWR,BWI,33,169,12,13
2013,1,27,1331,5,1421,-4,EV,N14153,5683,EWR,BWI,37,169,13,31
2013,1,27,1610,25,1716,13,9E,N8674A,3635,JFK,BWI,35,184,16,10
2013,1,27,1700,-6,1808,0,EV,N12921,4316,EWR,BWI,38,169,17,0
2013,1,27,1800,0,1857,-13,WN,N956WN,808,EWR,BWI,36,169,18,0
2013,1,27,1826,-9,1921,-29,MQ,N699MQ,3944,JFK,BWI,37,184,18,26
2013,1,27,1933,-7,2032,-34,9E,N8674A,4091,JFK,BWI,35,184,19,33
2013,1,27,2155,-4,2242,-18,EV,N11119,4519,EWR,BWI,33,169,21,55
2013,1,28,628,3,724,-6,WN,N289CT,3127,EWR,BWI,37,169,6,28
2013,1,28,856,36,1004,25,9E,N8877A,4051,JFK,BWI,41,184,8,56
2013,1,28,1208,-2,1419,69,WN,N265WN,477,EWR,BWI,39,169,12,8
2013,1,28,1416,47,1546,75,EV,N12540,4280,EWR,BWI,39,169,14,16
2013,1,28,1607,22,1741,38,9E,N835AY,3635,JFK,BWI,43,184,16,7
2013,1,28,1738,28,1837,17,EV,N14950,4316,EWR,BWI,37,169,17,38
2013,1,28,1827,-8,1934,-16,MQ,N659MQ,3944,JFK,BWI,36,184,18,27
2013,1,28,2029,49,2130,24,9E,N835AY,4091,JFK,BWI,35,184,20,29
2013,1,28,2040,160,2142,152,WN,N792SW,808,EWR,BWI,35,169,20,40
2013,1,28,NA,NA,NA,NA,EV,N14198,4519,EWR,BWI,NA,169,NA,NA
2013,1,29,622,-3,719,-11,WN,N262WN,3127,EWR,BWI,38,169,6,22
2013,1,29,810,-10,930,-9,9E,N8797A,4051,JFK,BWI,39,184,8,10
2013,1,29,1206,-4,1302,-8,WN,N716SW,477,EWR,BWI,42,169,12,6
2013,1,29,1459,90,1612,101,EV,N12924,4688,EWR,BWI,48,169,14,59
2013,1,29,1539,-6,1647,-16,9E,N8533D,3635,JFK,BWI,37,184,15,39
2013,1,29,1708,-2,1807,-13,EV,N15910,4316,EWR,BWI,37,169,17,8
2013,1,29,1759,-1,1853,-17,WN,N603SW,808,EWR,BWI,34,169,17,59
2013,1,29,1834,-1,1934,-16,MQ,N633MQ,3944,JFK,BWI,41,184,18,34
2013,1,29,1933,-7,2033,-33,9E,N8533D,4091,JFK,BWI,36,184,19,33
2013,1,29,2155,-4,2249,-11,EV,N14198,4519,EWR,BWI,34,169,21,55
2013,1,30,621,-4,718,-12,WN,N291WN,3127,EWR,BWI,40,169,6,21
2013,1,30,814,-6,935,-4,9E,N8477R,4051,JFK,BWI,42,184,8,14
2013,1,30,1201,-9,1305,-5,WN,N741SA,477,EWR,BWI,42,169,12,1
2013,1,30,1507,98,1606,95,EV,N14570,4688,EWR,BWI,42,169,15,7
2013,1,30,1830,-5,1956,6,MQ,N614MQ,3944,JFK,BWI,50,184,18,30
2013,1,30,1846,96,1950,90,EV,N16981,4316,EWR,BWI,41,169,18,46
2013,1,30,1904,64,2024,74,WN,N781WN,808,EWR,BWI,59,169,19,4
2013,1,30,2153,-6,2315,15,EV,N13553,4519,EWR,BWI,53,169,21,53
2013,1,30,NA,NA,NA,NA,9E,,3635,JFK,BWI,NA,184,NA,NA
2013,1,30,NA,NA,NA,NA,9E,,4091,JFK,BWI,NA,184,NA,NA
2013,1,31,625,0,750,20,WN,N479WN,3127,EWR,BWI,40,169,6,25
2013,1,31,824,4,936,-3,9E,N8888D,4051,JFK,BWI,42,184,8,24
2013,1,31,1206,-4,1305,-5,WN,N947WN,477,EWR,BWI,39,169,12,6
2013,1,31,1335,6,1439,8,EV,N12195,4280,EWR,BWI,39,169,13,35
2013,1,31,1627,42,1740,37,9E,N8577D,3635,JFK,BWI,40,184,16,27
2013,1,31,1829,-6,2034,44,MQ,N906MQ,3944,JFK,BWI,52,184,18,29
2013,1,31,1938,148,2055,155,EV,N12157,4316,EWR,BWI,37,169,19,38
2013,1,31,2014,34,2211,65,9E,N8577D,4091,JFK,BWI,40,184,20,14
2013,1,31,2132,212,2228,198,WN,N776WN,808,EWR,BWI,34,169,21,32
2013,1,31,2312,73,8,68,EV,N14993,4519,EWR,BWI,38,169,23,12
